Title,IMDb Link
House of 1000 Corpses,https://www.imdb.com/title/tt0251736/?ref_=sr_i_302
Ghosts of Girlfriends Past,https://www.imdb.com/title/tt0821640/?ref_=sr_i_303
The Box,https://www.imdb.com/title/tt0362478/?ref_=sr_i_304
Good Luck Chuck,https://www.imdb.com/title/tt0452625/?ref_=sr_i_305
RoboCop 2,https://www.imdb.com/title/tt0100502/?ref_=sr_i_306
The Dead Don't Die,https://www.imdb.com/title/tt8695030/?ref_=sr_i_307
The New Mutants,https://www.imdb.com/title/tt4682266/?ref_=sr_i_308
The Pink Panther,https://www.imdb.com/title/tt0383216/?ref_=sr_i_309
The X Files: I Want to Believe,https://www.imdb.com/title/tt0443701/?ref_=sr_i_310
Cocktail,https://www.imdb.com/title/tt0094889/?ref_=sr_i_311
The Last Song,https://www.imdb.com/title/tt1294226/?ref_=sr_i_312
The Bling Ring,https://www.imdb.com/title/tt2132285/?ref_=sr_i_313
Righteous Kill,https://www.imdb.com/title/tt1034331/?ref_=sr_i_314
Skyline,https://www.imdb.com/title/tt1564585/?ref_=sr_i_315
Big Momma's House,https://www.imdb.com/title/tt0208003/?ref_=sr_i_316
Death Note,https://www.imdb.com/title/tt1241317/?ref_=sr_i_317
The Princess Diaries 2: Royal Engagement,https://www.imdb.com/title/tt0368933/?ref_=sr_i_318
Jack and Jill,https://www.imdb.com/title/tt0810913/?ref_=sr_i_319
Mirror Mirror,https://www.imdb.com/title/tt1667353/?ref_=sr_i_320
The House Bunny,https://www.imdb.com/title/tt0852713/?ref_=sr_i_321
Annabelle Comes Home,https://www.imdb.com/title/tt8350360/?ref_=sr_i_322
The Human Centipede (First Sequence),https://www.imdb.com/title/tt1467304/?ref_=sr_i_323
The Midnight Sky,https://www.imdb.com/title/tt10539608/?ref_=sr_i_324
Cop Out,https://www.imdb.com/title/tt1385867/?ref_=sr_i_325
Office Christmas Party,https://www.imdb.com/title/tt1711525/?ref_=sr_i_326
New Year's Eve,https://www.imdb.com/title/tt1598822/?ref_=sr_i_327
Argylle,https://www.imdb.com/title/tt15009428/?ref_=sr_i_328
Haywire,https://www.imdb.com/title/tt1506999/?ref_=sr_i_329
Meg 2: The Trench,https://www.imdb.com/title/tt9224104/?ref_=sr_i_330
Failure to Launch,https://www.imdb.com/title/tt0427229/?ref_=sr_i_331
Analyze That,https://www.imdb.com/title/tt0289848/?ref_=sr_i_332
The Tuxedo,https://www.imdb.com/title/tt0290095/?ref_=sr_i_333
Hide and Seek,https://www.imdb.com/title/tt0382077/?ref_=sr_i_334
The Cat in the Hat,https://www.imdb.com/title/tt0312528/?ref_=sr_i_335
John Tucker Must Die,https://www.imdb.com/title/tt0455967/?ref_=sr_i_336
G.I. Jane,https://www.imdb.com/title/tt0119173/?ref_=sr_i_337
The Wedding Planner,https://www.imdb.com/title/tt0209475/?ref_=sr_i_338
What's Your Number?,https://www.imdb.com/title/tt0770703/?ref_=sr_i_339
World Trade Center,https://www.imdb.com/title/tt0469641/?ref_=sr_i_340
The Flintstones,https://www.imdb.com/title/tt0109813/?ref_=sr_i_341
When the Phone Rings,https://www.imdb.com/title/tt33503491/?ref_=sr_i_342
Look Who's Talking,https://www.imdb.com/title/tt0097778/?ref_=sr_i_343
Species,https://www.imdb.com/title/tt0114508/?ref_=sr_i_344
Speed 2: Cruise Control,https://www.imdb.com/title/tt0120179/?ref_=sr_i_345
Bloodshot,https://www.imdb.com/title/tt1634106/?ref_=sr_i_346
Daddy's Home 2,https://www.imdb.com/title/tt5657846/?ref_=sr_i_347
Semi-Pro,https://www.imdb.com/title/tt0839980/?ref_=sr_i_348
Jaws 2,https://www.imdb.com/title/tt0077766/?ref_=sr_i_349
Conan the Destroyer,https://www.imdb.com/title/tt0087078/?ref_=sr_i_350
The Ruins,https://www.imdb.com/title/tt0963794/?ref_=sr_i_351
Fool's Gold,https://www.imdb.com/title/tt0770752/?ref_=sr_i_352
George of the Jungle,https://www.imdb.com/title/tt0119190/?ref_=sr_i_353
The Woman in the Window,https://www.imdb.com/title/tt6111574/?ref_=sr_i_354
Sex and the City 2,https://www.imdb.com/title/tt1261945/?ref_=sr_i_355
Cabin Fever,https://www.imdb.com/title/tt0303816/?ref_=sr_i_356
Free Willy,https://www.imdb.com/title/tt0106965/?ref_=sr_i_357
"You, Me and Dupree",https://www.imdb.com/title/tt0463034/?ref_=sr_i_358
Six Days Seven Nights,https://www.imdb.com/title/tt0120828/?ref_=sr_i_359
The Invasion,https://www.imdb.com/title/tt0427392/?ref_=sr_i_360
Confessions of a Shopaholic,https://www.imdb.com/title/tt1093908/?ref_=sr_i_361
